ID,Date,Product,Amount,CustomerAge,SalesRegion
0,2025-01-09,Widgets,4458.96,14.0,Unknown
0,2025-01-07,Wdgt,2531.08,92.0,East
2,2025-01-10,Gadget,315.09,44.0,West
2,2025-01-01,Gadgets,847.78,,SouthWest
3,2025-01-14,Gadget,2450.54,98.0,East
5,2025-01-14,Widgets,3008.44,24.0,East
5,2025-01-08,Gadget,4680.62,64.0,Unknown
7,2025-01-08,Widge,614.88,66.0,SouthWest
7,2025-01-11,Gadget,229.29,35.0,SouthWest
9,2025-01-07,Gadget,824.31,33.0,SouthWest
10,2025-01-09,Widget,4104.35,89.0,NorthEast
10,2025-01-01,Widget,589.17,87.0,SouthEast
12,2025-01-03,Widgets,1964.72,53.0,SouthEast
13,2025-01-11,Wdgt,3526.45,32.0,Unknown
14,2025-01-07,Gadget,3016.84,43.0,Unknown
15,2025-01-03,Widgets,3040.62,68.0,SouthWest
15,2025-01-04,Widge,2853.96,12.0,Unknown
17,2025-01-15,Gadgets,3431.7,42.0,Unknown
18,2025-01-XX,Widge,943.62,93.0,NorthWest
18,2025-01-05,Widget,1208.86,15.0,SouthEast
20,2025-01-06,Gadget,1371.68,98.0,NorthEast
21,2025-01-02,Widgets,3938.13,31.0,NorthEast
21,2025-01-11,Widget,abc,59.0,Unknown
23,2025-01-09,Widget,963.72,98.0,SouthWest
24,2025-01-09,Gadget,1512.14,41.0,West
24,2025-01-07,Widgets,3664.32,,SouthEast
25,2025-01-07,Gadget,1368.6,53.0,East
26,2025-01-10,Widgets,1033.9,94.0,SouthWest
27,2025-01-13,Widgets,4577.91,51.0,West
28,2025-01-14,Widgets,1758.27,13.0,East
29,2025-01-01,Widge,2335.37,1.0,NorthWest
31,2025-01-13,Widget,2646.05,64.0,West
31,2025-01-02,Gadget,1848.26,45.0,West
32,2025-01-06,Gadget,3865.49,21.0,NorthEast
34,2025-01-01,Widge,2837.34,60.0,SouthEast
35,2025-01-13,Wdgt,4050.2,87.0,SouthEast
35,2025-01-13,Gadget,3861.25,14.0,SouthWest
36,2025-01-08,Widge,4841.05,37.0,NorthWest
38,2025-01-05,Widge,1823.68,57.0,East
38,2025-01-02,Widget,44105.07,,East
40,2025-01-03,Wdgt,991.53,50.0,West
40,2025-01-04,Widgets,1820.38,85.0,Unknown
42,2025-01-04,Widgets,2373.3,,NorthWest
43,2025-01-05,Wdgt,580.69,92.0,NorthEast
44,2025-01-06,Gadget,3008.79,,West
45,2025-01-12,Widge,4240.47,45.0,NorthEast
45,2025-01-10,Wdgt,4473.4,65.0,Unknown
47,2025-01-XX,Widge,4371.8,20.0,SouthWest
47,2025-01-15,Widge,4270.67,30.0,SouthWest
49,2025-01-11,Widgets,749.98,48.0,East
50,2025-01-11,Gadget,3044.78,12.0,West
51,2025-01-04,Gadget,3656.85,38.0,East
52,2025-01-02,Widget,789.14,,NorthWest
53,2025-01-13,Widgets,135.97,78.0,West
53,2025-01-XX,Widget,1135.87,39.0,SouthWest
55,2025-01-02,Widgets,2786.78,50.0,NorthWest
55,2025-01-01,Widget,4629.83,95.0,Unknown
56,2025-01-08,Widgets,3390.13,32.0,Unknown
58,2025-01-11,Gadgets,3879.42,89.0,Unknown
58,2025-01-05,Widgets,3352.01,77.0,East
60,2025-01-15,Wdgt,3566.19,0.0,SouthWest
61,2025-01-10,Widget,1774.27,73.0,SouthWest
62,2025-01-02,Wdgt,4837.23,81.0,East
62,2025-01-11,Gadget,3212.98,52.0,NorthWest
64,2025-01-01,Widget,225.17,100.0,SouthEast
65,2025-01-12,Gadgets,1178.28,18.0,NorthEast
66,2025-01-14,Widgets,1825.07,4.0,NorthEast
66,2025-01-14,Gadgets,160.75,-3.0,East
68,2025-01-15,Gadgets,3308.72,8.0,East
69,2025-01-02,Widge,74.83,53.0,NorthEast
70,2025-01-12,Gadget,1293.57,20.0,SouthEast
